"event_facebook_id","event_tag_id"
"1012347065451584","32"
"1012347065451584","49"
"1012879335390900","3"
"1012879335390900","5"
"1012879335390900","6"
"1012879335390900","24"
"1012879335390900","36"
"1012879335390900","49"
"1013838171988133","2"
"1013838171988133","4"
"1013838171988133","6"
"1013838171988133","16"
"1013838171988133","40"
"1013838171988133","51"
"1014141315396177","2"
"1014141315396177","4"
"1014141315396177","6"
"1014141315396177","12"
"1014141315396177","29"
"1014141315396177","25"
"1014141315396177","35"
"1014141315396177","51"
"1014167852042374","3"
"1014167852042374","4"
"1014167852042374","6"
"1014167852042374","25"
"1014167852042374","51"
"1014547852005494","3"
"1014547852005494","5"
"1014547852005494","6"
"1014547852005494","24"
"1014547852005494","48"
"1014547852005494","51"
"101490586678063","3"
"101490586678063","6"
"101490586678063","8"
"101490586678063","22"
"101490586678063","40"
"101490586678063","51"
"10153092609292107","1"
"10153092609292107","5"
"10153092609292107","7"
"10153092609292107","16"
"10153092609292107","40"
"10153092609292107","49"
"1015546908540672","1"
"1015546908540672","4"
"1015546908540672","6"
"1015546908540672","15"
"1015546908540672","51"
"1015771735164156","3"
"1015771735164156","4"
"1015771735164156","6"
"1015771735164156","16"
"1015771735164156","40"
"1015771735164156","54"
"1015771735164156","51"
"1015810938479436","2"
"1015810938479436","5"
"1015810938479436","6"
"1015810938479436","22"
"1015810938479436","25"
"1015810938479436","32"
"1015810938479436","51"
"1015844258474704","2"
"1015844258474704","4"
"1015844258474704","6"
"1015844258474704","28"
"1015844258474704","46"
"1015844258474704","51"
"1015866155120401","2"
"1015866155120401","5"
"1015866155120401","6"
"1015866155120401","26"
"1015866155120401","39"
"1015866155120401","51"
"101593436871236","1"
"101593436871236","4"
"101593436871236","6"
"101593436871236","24"
"101593436871236","48"
"101593436871236","51"
"1016233731735094","2"
"1016233731735094","4"
"1016233731735094","6"
"1016233731735094","28"
"1016233731735094","46"
"1016233731735094","51"
"1016463901726513","2"
"1016463901726513","5"
"1016463901726513","6"
"1016463901726513","16"
"1016463901726513","40"
"1016463901726513","50"
"1016481675037256","1"
"1016481675037256","4"
"1016481675037256","6"
"1016481675037256","28"
"1016481675037256","33"
"1016481675037256","50"
"1016520001716770","2"
"1016520001716770","4"
"1016520001716770","7"
"1016520001716770","14"
"1016520001716770","51"
"1016846178357848","2"
