"id","nazwa","facebook_id","isPublic"
"193","Galeria Szyb Wilson","180154812118956","0"
"194","-A-R-C-H-I-B-A-R-","180359875335293","0"
"195","FUNDACJA KULTURA OBRAZU","181380568595166","0"
"196","Stand-up w Hipnozie","1817565345134794","0"
"197","Wyborcza.pl Katowice","182216700504","0"
"198","Teatr Forum Katowice","182589732073888","0"
"199","Ars Independent","183023855052530","1"
"200","Międzynarodowy Festiwal Seriali w Katowicach","1855796621373191","0"
"201","Idol Polska","1865891116979035","0"
"202","Katofonia jazz&blues club","187971877886688","0"
"203","Taco Hemingway","189287054474842","0"
"204","Swing City Katowice","189428721393016","0"
"205","kino zakorzenione","190912847907034","0"
"206","Śląski Festiwal Disco Polo","191294021229026","0"
"207","Światowe Dni Młodzieży","192711342274","0"
"208","Silesia HR Trends","192711511134826","0"
"209","Viva Akcja dla zwierząt - Katowice","193062280725656","0"
"210","Regionalny Instytut Kultury w Katowicach","194612507252335","1"
"211","Wudec","195537217149183","0"
"212","Design Thinking MeetUp Katowice","196019397400461","0"
"213","Centrum Sztuki Filmowej / Kino Kosmos","199178653443636","1"
"214","Krol/Meiser - ASP Katowice","199603095995","1"
"215","KultKato","200356340300655","0"
"216","mojeKatowice.pl","202042903170702","0"
"217","Orszak Trzech Króli w Katowicach","202641669812417","0"
"218","Ogólnopolski Festiwal Sztuki Reżyserskiej Interpretacje","203910676371291","1"
"219","Galeria Szara","204259369613769","0"
"220","AEGEE-Katowice","205205289524179","0"
"221","AlterArtShow","207191876014946","0"
"222","Stowarzyszenie Tęczówka","209310862468708","0"
"223","TAKK! Tymczasowa Akcja Kulturalna Katowice","210337132332493","1"
"224","Katowice Miasto Wydarzeń","211481138925461","1"
"225","Centrum Promocji Młodych","212422485480845","0"
"226","Styl gotycki wyklucza się","212888185544888","0"
"227","Biuro Dźwięku Katowice","214549565412037","1"
"228","I LOVE KATO","220242794701120","0"
"229","KatOFFice miasto i ogród kultury","221451374553260","0"
"230","MegaClub","222994523564","0"
"231","Festiwal Tauron Nowa Muzyka","223772950076","0"
"232","Women in  Technology","226005694122001","0"
"233","ZPAP Okręg Katowice","229321380489666","0"
"234","Europejski Kongres MŚP","229692033718587","0"
"235","Uniwersytet Śląski w Katowicach","230359693460","1"
"236","Studio ABM Katowice","232077720175139","0"
